id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
91487,91772,173740,,Gl 725B,,,18.713249,59.626847,3.4545,-1393.2,1845.73,1.2,9.7,12.008,K5,1.561,0.324167,-1.716358,2.980381,-0.00002776,0.00002126,0.00001669,4.8991171708,1.0406847971,-6.7544241975E-006,8.948351546E-006,,,Dra,2,91484,Gl 725,0.0013702506,,,
103879,104214,201091,8085,Gl 820A,61    Cyg,,21.114794,38.749415,3.4865,4155.1,3258.9,-64.8,5.2,7.488,K5V,1.069,1.979356,-1.863636,2.181892,-0.00001456,0.0001102,0.00000149,5.5278401643,0.6763048804,2.01444932407639E-005,1.5799593035E-005,,61,Cyg,1,103879,Gl 820,0.0880643228,V1803,5.682,5.002
118493,,,,Gl 280B,,,7.655006,5.226824,3.4974,-702.34,-1021.92,0,10.7,12.981,DA,,-1.462274,3.161021,0.31861,0.00001014,0.00000644,-0.00001725,2.00407593,0.0912252816,-0.000003405,-4.954388571E-006,,,CMi,2,37173,Gl 280,0.0005592423,,,
103883,104217,201092,8086,Gl 820B,61    Cyg,,21.115163,38.742055,3.498,4107.4,3143.72,-64.3,6.05,8.331,K7V,1.309,1.986273,-1.869789,2.188742,-0.00001387,0.00010874,0.00000044,5.5279368548,0.6761764154,1.99132371151389E-005,1.5241184638E-005,,61,Cyg,2,103879,Gl 820,0.040513522,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.0040830412,0.0911933319,-0.000003474,-5.015785376E-006,Alp,10,CMi,1,37173,Gl 280,7.4404636619,,,
117979,,,,Gl 15B,,,0.30516,44.023502,3.568,2880.25,415.05,11.3,11.06,13.298,M6 Ve,1.79,2.557764,0.20548,2.479994,-0.00000063,0.00004993,0.00001319,0.0798907113,0.768355054,1.39638460342014E-005,2.012219181E-006,,,And,2,1472,Gl  15,0.000417638,,,
91484,91768,173739,,Gl 725A,,,18.713179,59.630396,3.5691,-1326.88,1802.12,-0.8,8.94,11.177,K5,1.504,0.334856,-1.773105,3.079349,-0.00002763,0.00002258,0.00001506,4.8990987252,1.0407467441,-6.43289576455556E-006,8.7369243E-006,,,Dra,1,91484,Gl 725,0.0029457779,,9.149,8.809
1472,1475,1326,,Gl 15A,,,0.306174,44.022954,3.5873,2888.92,410.58,12,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-0.00000017,0.00005039,0.00001366,0.0801562054,0.7683454903,1.40058793803056E-005,1.990548009E-006,,,And,1,1472,Gl  15,0.006510285,GX,8.125,8.065
108526,108870,209100,8387,Gl 845,Eps Ind,,22.055486,-56.785977,3.6224,3959.97,-2538.84,-40.4,4.69,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-0.00001843,0.00008993,0.00001014,5.7741127237,-0.9911022626,1.91984763058958E-005,-1.2308643647E-005,Eps,,Ind,1,108526,,0.152054753,,,
118541,,,,GJ 1111,,,8.497244,26.778532,3.6258,-1141.11,-601.64,-5,14.81,17.013,M6.5,2.06,-1.968452,2.569351,1.633464,0.0000158,0.00001236,-0.00001174,2.2245732101,0.4673735548,-5.5322573901875E-006,-2.916823331E-006,,,,1,118541,,1.36395486750663E-005,,,
8087,8102,10700,509,Gl 71,52Tau Cet,,1.734479,-15.93748,3.6502,-1721.82,854.07,-17,3.49,5.678,G8V,0.727,3.154083,1.539508,-1.00226,0.00000207,-0.00003289,0.00001931,0.4540854403,-0.2781615013,-8.34761891454167E-006,4.140648201E-006,Tau,52,Cet,1,8087,,0.4664445252,,,
5632,5643,,,Gl 54.1,,,1.208502,-16.998967,3.6899,1210.09,646.95,28,12.1,14.265,M5.5Ve,1.85,3.353772,1.097975,-1.078832,0.00002251,0.00003014,0.00000269,0.3163851485,-0.2966879456,5.86668186703472E-006,3.136502106E-006,,,Cet,1,5632,,0.0001713957,YZ,12.201,12.001
82472,82724,,,,,,16.908863,-62.399734,3.6964,294.47,205.48,0,11.85,14.011,Mp,1.729,-0.482554,-1.64315,-3.275755,0.00000414,-0.00000462,0.00000171,4.4267299568,-1.0890808123,1.42763084513194E-006,9.9619515E-007,,,Ara,1,82472,,0.0002165708,,,
36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952186962,0.0912071575,2.76959511290972E-006,-1.7910229393E-005,,,CMi,1,36107,,0.0014588143,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.3598302394,-0.7857196034,3.15422204637847E-005,-2.7786562805E-005,,,Pic,1,24129,,0.0038089038,VZ,9.148,8.828
104751,105090,202560,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,-3259,-1146.99,28.2,6.69,8.709,M1/M2V,1.397,2.330004,-2.003156,-2.476477,-0.00003405,-0.00005295,-0.00003518,5.5731133743,-0.6783634427,-1.58000778493056E-005,-5.560764434E-006,,,Mic,1,104751,,0.0286022369,AX,6.707,6.667
110547,110893,239960,,Gl 860A,,Kruger 60,22.466642,57.695875,4.001,-870.23,-471.1,-33.3,9.59,11.579,M2V,1.613,1.968033,-0.83547,3.381486,-0.00001624,-0.00001144,-0.00003367,5.8817530228,1.0069829824,-0.000004219,-0.000002284,,,Cep,1,110547,Gl 860,0.0020342297,DO,9.628,9.548
119505,,,,Gl 860B,,,22.467267,57.696623,4.0077,-854.68,-391.3,-31.7,11.3,13.286,M6 V,1.8,1.97065,-0.836546,3.386059,-0.00001651,-0.00001103,-0.00003147,5.8819166867,1.0069960425,-4.14360556497222E-006,-1.897090476E-006,,,Cep,2,110547,Gl 860,0.0004222795,,,
72284,72511,,,Gl 563.2B,,,14.825751,-26.105704,4.034,-1389.7,135.76,44,11.72,13.691,M,1.48,-2.675893,-2.442217,-1.775248,-0.00004903,-0.00000796,-0.00001742,3.8813724593,-0.4556304829,-6.73745571868056E-006,6.58183052E-007,,,Hya,2,72283,Gl 563.2,0.0002908037,,11.84,11.53
118428,,,,Gl 234B,,,6.489939,-2.812227,4.1171,702.48,-697.59,0,14.6,16.527,,,-0.526003,4.078362,-0.201997,-0.00001382,-0.00000247,-0.00001391,1.699062118,-0.0490826239,3.40571914316667E-006,-0.000003382,,,,2,30847,Gl 234,2.13402744284897E-005,,,
30847,30920,,,Gl 234A,,,6.489833,-2.813979,4.1268,694.73,-618.62,16.7,11.12,13.042,M4.5Ve,1.69,-0.527146,4.088126,-0.202607,-0.00001589,0.00001454,-0.0000132,1.6990344173,-0.0491131976,3.36814608292361E-006,-2.99915439E-006,,,Mon,1,30847,Gl 234,0.0005286887,V577,11.176,11.066
82473,82725,,,,,,16.908971,-62.403319,4.1465,254.79,173.56,0,11.72,13.632,,,-0.541199,-1.843027,-3.674755,0.00000404,-0.00000441,0.00000162,4.4267582835,-1.0891433884,1.2352567766875E-006,8.41442623E-007,,,Ara,1,82473,,0.0003070436,,12.005,11.545
3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.2145225145,0.0940489788,0.000005978,-1.3141165699E-005,,,,1,3820,,0.00017832,,12.621,12.091
118236,,,,GJ 1061,,,3.599704,-44.511897,4.2918,727.33,-399.86,-20,13.03,14.867,M4.5,1.9,1.798507,2.475398,-3.00808,-0.00002425,-0.00000762,0.00000841,0.9424003528,-0.7768791556,3.52619534278472E-006,-1.938551742E-006,,,,1,118236,,9.84464363980376E-005,,,
80579,80824,,,Gl 628,,,16.505017,-12.662594,4.2922,-93.61,-1184.9,-13,10.1,11.937,M4,1.604,-1.597477,-3.871023,-0.940865,0.00000521,0.00001773,-0.00002114,4.321003265,-0.2210039499,-4.53834086368056E-007,-5.7445573E-006,,,Oph,1,80579,,0.0014628507,V2306,10.143,10.063
118830,,,,Gl 473A,,,12.554778,9.020714,4.3066,-1794.92,233.12,0,13.04,14.869,dM5.5eJ,1.83,-4.208555,-0.615564,0.675238,-0.00000468,0.00003719,0.00000481,3.2868331121,0.1574411649,-0.000008702,1.130197652E-006,,,,1,118830,Gl 473,9.82652582829532E-005,,,
118831,,,,Gl 473B,,,12.554778,9.020714,4.3066,-1794.92,233.12,0,13.3,15.129,M7,,-4.208555,-0.615564,0.675238,-0.00000468,0.00003719,0.00000481,3.2868331121,0.1574411649,-0.000008702,1.130197652E-006,,,,2,118830,Gl 473,7.73392578048997E-005,,,
442,439,225213,,Gl 1,,,0.089883,-37.357364,4.3399,5634.07,-2337.94,22.9,8.56,10.373,M2V,1.462,3.448844,0.081384,-2.633508,-0.00001398,0.00011824,-0.00005331,0.023531392,-0.6520089932,2.73147421320764E-005,-1.1334652963E-005,,,Scl,1,442,,0.0061773186,,,
118583,,,,NN 3522,,,8.982236,8.475397,4.4643,322.61,-313.72,0,10.89,12.641,k,1.67,-3.107711,3.136747,0.657969,-0.00000566,-0.0000042,-0.00000672,2.3515438629,0.1479235782,1.56405741484028E-006,-0.000001521,,,Cnc,1,118583,,0.0007648918,,,
118100,,,,Gl 83.1,,,2.003563,13.05304,4.4683,1113.71,-1768.54,-31,12.28,14.029,dM8  e,1.8,3.76629,2.179192,1.008821,-0.00003131,0.00000976,-0.00004449,0.5245315839,0.2278185331,5.39941844171528E-006,-8.57413841E-006,,,,1,118100,,0.00021301,,,
118704,,,,NN 3618,,,10.742414,-61.193586,4.4883,-340.24,1614.54,0,13.92,15.66,m,1.82,-2.046475,0.699423,-3.932885,-0.00002674,0.00001696,0.00001692,2.8123573645,-1.0680295587,-1.64953006672222E-006,7.827505949E-006,,,,1,118704,,4.74241985260244E-005,,,
118707,,,,NN 3622,,,10.803471,-11.336727,4.5249,601.06,-1525.88,-7,15.6,17.322,M6.5,2.1,-4.220385,1.367034,-0.889411,0.00000886,-0.00001673,-0.00003142,2.8283421101,-0.1978632077,0.000002914,-7.397694381E-006,,,,1,118707,,1.02612436519334E-005,,,
85899,86162,,,Gl 687,,,17.607283,68.339141,4.5282,-320.47,-1269.55,-23.2,9.15,10.87,M3.5Vvar,1.505,-0.171572,-1.662506,4.208248,-0.00000876,-0.00001633,-0.00003234,4.6095759493,1.1927430242,-1.55368240207639E-006,-0.000006155,,,Dra,1,85899,,0.003908409,,,
85264,85523,,,Gl 674,,,17.47772,-46.89519,4.5405,573.32,-879.84,-10.2,9.38,11.094,K5,1.553,-0.422874,-3.073668,-3.314975,0.0000154,0.00001935,-0.00000562,4.5756563399,-0.8184754719,2.77953379336111E-006,-4.265584687E-006,,,Ara,1,85264,,0.0031798014,,,
57194,57367,,,Gl 440,,,11.761338,-64.841517,4.6081,2665.17,-346.83,0,11.5,13.182,DC:,0.196,-1.955207,0.122023,-4.170954,0.00000327,-0.00005986,-0.00000329,3.0791111827,-1.1316979649,1.29211087700625E-005,-1.681479288E-006,,,Mus,1,57194,,0.0004647292,,11.575,11.405
63518,63721,113447,,,,,13.057957,25.797084,4.6164,-43.77,-16.46,-34,8.75,10.428,F3V,0.455,-3.997663,-1.136452,2.008857,0.00002969,0.00000946,-0.00001546,3.4185651692,0.4502440527,-2.12202947979167E-007,-7.9800331E-008,,,Com,1,63518,,0.0058721887,,,
72283,72509,,,Gl 563.2A,,,14.825516,-26.111672,4.6583,-1421.6,-203.6,22,12.07,13.729,M,1.524,-3.089858,-2.819683,-2.050308,-0.00003507,0.00001146,-0.00001403,3.881310887,-0.455734657,-6.89211128277778E-006,-9.87080653E-007,,,,1,72283,Gl 563.2,0.0002808019,,,
112660,113020,,,Gl 876,,,22.887977,-14.263701,4.6887,960.33,-675.64,-1.5,10.16,11.805,M5,1.597,4.352933,-1.304309,-1.155222,0.00000122,0.00002242,-0.00001451,5.9920582773,-0.2489485385,4.65581121847917E-006,-3.275595151E-006,,,Aqr,1,112660,,0.0016519618,IL,10.202,10.102
117960,,,,GJ 1002,,,0.112155,-7.539302,4.6992,-816.71,-1869.38,-42,13.75,15.39,M5-5.5,1.98,4.65444,0.136696,-0.616283,-0.00004758,-0.00002002,-0.0000366,0.0293622129,-0.1315856493,-3.95952181046528E-006,-0.000009063,,,,1,117960,,6.08135001278718E-005,,,
119312,,,,GJ 1245A,,,19.898222,44.414534,4.717,438.31,-583.77,0,13.41,15.042,M5.5 V e,1.9,1.606452,-2.961705,3.301167,0.00001326,-0.00000344,-0.00000953,5.2093422263,0.7751798494,0.000002125,-2.830191974E-006,,,,1,119312,GJ 1245,8.37915067438409E-005,,,
119313,,,,GJ 1245B,,,19.8985,44.414552,4.717,438.31,-583.77,0,14.01,15.642,m,1.98,1.606668,-2.961587,3.301168,0.00001326,-0.00000344,-0.00000953,5.2094151083,0.7751801614,0.000002125,-2.830191974E-006,,,,2,119312,GJ 1245,0.000048217,,,
113750,114110,,,,,,23.11082,-14.872194,4.804,112.27,83.24,0,12.24,13.832,,,4.517834,-1.071109,-1.233013,0.00000109,0.00000243,0.00000187,6.0503986066,-0.2595687559,5.44300319159722E-007,4.03558907E-007,,,,1,113750,,0.0002553877,,12.955,10.405
118727,,,,Gl 412B,,,11.093507,43.521487,4.8323,-4432.65,934.1,0,14.4,15.979,M6  e,2.09,-3.405436,0.825166,3.32765,0.00003895,0.00009743,0.00001587,2.9042732643,0.7595932492,-2.14900936111458E-005,4.528663982E-006,,,,2,54052,Gl 412,3.53508613361997E-005,,,
54052,54211,,,Gl 412A,,,11.091542,43.526777,4.848,-4410.79,943.32,68.8,8.82,10.392,M2Vvar,1.491,-3.416483,0.828486,3.33921,-0.00001034,0.00010916,0.00006453,2.903759032,0.7596855748,-2.13841133405764E-005,4.573344411E-006,,,UMa,1,54052,Gl 412,0.0060701581,WX,8.858,8.788
49767,49908,88230,,Gl 380,,,10.189602,49.454237,4.8731,-1361.55,-505,-25.4,6.6,8.161,K8V,1.326,-2.818415,1.445842,3.702832,0.00002164,0.00002505,-0.00002749,2.6676316744,0.8631392603,-0.000006601,-2.448309086E-006,,,UMa,1,49767,,0.0473805393,,,
118676,,,,Gl 388,,,10.326843,19.870262,4.9044,-497.26,-52.26,12.3,9.4,10.947,M4.5Ve,1.54,-4.17747,1.956673,1.667178,-0.00000608,0.0000159,0.00000311,2.7035612778,0.3468014888,-2.41078450793056E-006,-2.53383022E-007,,,Leo,1,118676,,0.0036408266,,,
106098,106440,204961,,Gl 832,,,21.559441,-49.009006,4.9537,-46.18,-818.01,4.1,8.66,10.185,M1V,1.521,2.608354,-1.937731,-3.739143,-0.00001036,0.00000631,-0.00001605,5.644248573,-0.85536852,-2.23886957680556E-007,-3.965824388E-006,,,Gru,1,106098,,0.0073451387,,,
19799,19849,26965,1325,Gl 166A,40Omi2Eri,,4.254537,-7.652871,4.9845,-2239.33,-3419.86,-42.7,4.43,5.942,K1V,0.82,2.179524,4.432894,-0.66374,0.00002462,-0.00007258,-0.00007609,1.1138350819,-0.1335677886,-1.08565781927847E-005,-1.6579949135E-005,Omi-2,40,Eri,1,19799,Gl 166,0.365763193,,,
1240,1242,,,GJ 1005A,,,0.257803,-16.133807,4.9868,728.18,-617.48,-29,11.49,13.001,M:,1.75,4.779241,0.32306,-1.385667,-0.00003375,0.00001536,-0.0000061,0.0674927593,-0.2815880592,3.53031625906944E-006,-2.993627514E-006,,,Cet,1,1240,GJ 1005,0.000549035,,11.558,11.378
118281,,26976,,Gl 166B,,,4.256188,-7.657504,5.0444,-2180.82,-3436.41,-21,9.52,11.006,DA4,0.03,2.203473,4.486451,-0.67203,0.00003361,-0.00005259,-0.00008045,1.1142673483,-0.1336486593,-1.05729137082917E-005,-1.6660205192E-005,,,Eri,2,19799,Gl 166,0.00344826,,,
118282,,,,Gl 166C,,,4.256188,-7.657504,5.0444,-2180.82,-3436.41,-45.9,11.17,12.656,dM4.5e,1.67,2.202917,4.485319,-0.671861,0.00002249,-0.00007525,-0.00007708,1.1142673483,-0.1336486593,-1.05729137082917E-005,-1.6660205192E-005,,,Eri,3,19799,Gl 166,0.0007543971,,,
85951,86214,,,Gl 682,,,17.617729,-44.319215,5.0787,-710.11,-937.99,-60,10.94,12.411,M5,1.655,-0.363042,-3.615031,-3.547885,-0.0000114,0.00006148,0.00002635,4.6123107853,-0.7735162267,-3.44271042699306E-006,-4.547503842E-006,,,Sco,1,85951,,0.000945366,,11.004,10.884
88327,88601,165341,6752,Gl 702A,70    Oph,,18.090913,2.500099,5.0834,124.56,-962.66,-6.9,4.03,5.499,K0V SB,0.86,0.120862,-5.077062,0.221741,0.00000293,0.00000609,-0.00002401,4.736189846,0.0436349668,6.038839205E-007,-4.667107377E-006,,70,Oph,1,88327,Gl 702,0.5500472529,V2391,4.05,4.02
119198,,,,Gl 702B,,,18.09099,2.498264,5.086,252.27,-1101.48,-10,6,7.468,K5 Ve,1.15,0.121015,-5.079214,0.221672,0.000006,0.00000917,-0.00002758,4.736209987,0.0436029407,0.000001223,-5.340125728E-006,,,Oph,2,88327,Gl 702,0.0897015608,,,
112106,112460,,,Gl 873,,,22.780527,44.333991,5.1224,-704.66,-459.39,-0.5,10.29,11.743,M4.5Ve,1.54,3.478781,-1.15001,3.579733,0.00000173,-0.000019,-0.00000852,5.9639279175,0.7737741151,-3.41628808140278E-006,-2.227185567E-006,,,Lac,1,112106,,0.001749041,EV,10.386,10.206
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.1957721055,0.1547814171,2.60257679995833E-006,1.869150664E-006,Alp,53,Aql,1,97338,,11.3762728582,Alp,0.803,0.753
118578,,,,GJ 1116A,,,8.970901,19.763287,5.2274,-869.3,-34.91,-34,14.06,15.469,m,1.84,-3.450811,3.503886,1.766979,0.00003845,-0.00000764,-0.00001259,2.3485763887,0.3449344336,-4.21448532506944E-006,-1.69267848E-007,,,,1,118578,GJ 1116,5.65457540687621E-005,,,
118579,,,,GJ 1116B,,,8.970901,19.764954,5.2274,-869.3,-34.91,0,14.92,16.329,m,1.93,-3.451925,3.505014,1.76771,0.00001548,0.00001567,-0.00000083,2.3485765037,0.3449635226,-4.21448532506944E-006,-1.69267848E-007,,,,2,118578,GJ 1116,2.56094351715676E-005,,,
67380,67593,,,,,,13.85077,23.776677,5.3259,2281.92,5369.43,0,13.31,14.678,,,-4.312826,-2.270248,2.147258,0.00007687,-0.00002612,0.00012688,3.6261232188,0.4149812926,1.10630603393333E-005,2.6031731207E-005,,,,1,67380,,0.0001171656,,,
56975,57146,,,,,,11.719981,-39.432645,5.3419,-182.96,60.92,0,9.64,11.002,,,-4.114851,0.302206,-3.393018,-0.00000065,0.0000048,0.00000122,3.0682838116,-0.6882294897,-0.000000887,2.95348494E-007,,,Cen,1,56975,,0.0034609873,,9.808,8.448
57371,57544,,,Gl 445,,,11.794333,78.69116,5.3516,743.21,480.4,-112.2,10.8,12.158,M4,1.572,-1.047725,0.056332,5.246711,0.00003364,-0.00002112,-0.00011008,3.0877491959,1.3734198391,3.60318375525694E-006,0.000002329,,,Cam,1,57371,,0.0011934384,,10.866,10.736
118406,,,,NN 3379,,,6.000991,2.707087,5.3677,228.25,-74.16,0,11.33,12.681,M4,1.68,-0.001391,5.361709,0.253516,-0.00000594,0.00000009,-0.00000193,1.5710557354,0.0472475891,1.10658722586806E-006,-3.59557218E-007,,,Ori,1,118406,,0.0007372249,,,
66943,67155,119850,,Gl 526,,,13.76215,14.89152,5.3911,1778.46,-1455.52,16.1,8.46,9.802,M3V,1.435,-4.665503,-2.319265,1.385494,-0.00000232,-0.00005306,-0.00003253,3.6029224814,0.2599060491,8.62221738320833E-006,-7.056560083E-006,,,Boo,1,66943,,0.0104520144,,,
118311,,,,Gl 169.1B,,,4.518593,58.981451,5.5139,1371.91,-1944.8,0,12.44,13.733,DC5,0.31,1.073743,2.630708,4.725416,-0.00001708,0.00005513,-0.00002677,1.1829647544,1.0294205112,6.65120736490973E-006,-9.428675851E-006,,,,2,21036,Gl 169.1,0.0002797693,,,
58735,58910,104901,,,,,12.080228,-62.002292,5.5169,-6.13,0.16,0,7.57,8.862,F0Ib-II,0.626,-2.589262,-0.054392,-4.871237,-0.00000001,0.00000016,0,3.162596345,-1.0821441372,-2.97190786180556E-008,7.75701E-010,,,Cru,1,58735,,0.0248427689,BY,7.833,7.043
21036,21088,,,Gl 169.1A,,,4.519668,58.977072,5.5782,1300.21,-2048.99,17,10.82,12.088,,1.17,1.086377,2.661819,4.780431,-0.00001122,0.00006555,-0.00001365,1.1832462985,1.0293440934,6.30359595595139E-006,-9.933783833E-006,,,Cam,1,21036,Gl 169.1,0.0012729167,,10.877,10.767
33139,33226,265866,,,,,6.913622,33.268175,5.5863,-729.33,-399.31,26.4,9.89,11.154,K:...,1.58,-1.10658,4.538001,3.064541,0.00001243,0.00003237,0.00000577,1.8099820389,0.5806391908,-3.53589161639583E-006,-1.935909507E-006,,,Gem,1,33139,,0.0030088463,,,
83352,83609,,,,,,17.089101,-33.767358,5.6155,136.68,-141.19,0,9.25,10.503,G0,0.607,-1.102705,-4.536064,-3.121219,0.00000412,0.0000012,-0.0000032,4.4739162891,-0.5893515764,6.62643338583333E-007,-6.84508435E-007,,,Sco,1,83352,,0.0054802453,,,
